Volatility 3 Framework 2.27.0

PID	Process	Args
4944	Teams.exe	-
16392	Teams.exe	-
1244	Teams.exe	-
14392	Teams.exe	-
10672	Teams.exe	-
8964	Teams.exe	-
16116	Teams.exe	-
1424	Teams.exe	-
17120	Teams.exe	-
14420	Teams.exe	-
9732	Teams.exe	-
15680	Teams.exe	-
18740	Teams.exe	-
17624	Teams.exe	-
13556	Teams.exe	-
2256	Teams.exe	-
4144	Teams.exe	-
5348	Teams.exe	-
1852	Teams.exe	-
8524	Teams.exe	-
16924	Teams.exe	-
7924	Teams.exe	-
5124	Teams.exe	-
16976	Teams.exe	-
6552	Teams.exe	-
8556	Teams.exe	-
18440	Teams.exe	-
428	Teams.exe	-
15536	Teams.exe	-
2628	Teams.exe	-
19100	Teams.exe	-
5924	Teams.exe	-
564	Teams.exe	-
7352	Teams.exe	-
18336	Teams.exe	-
3376	Teams.exe	-
7636	Teams.exe	-
13124	Teams.exe	-
14560	Teams.exe	-
1560	Teams.exe	-
13636	Teams.exe	-
4964	Teams.exe	-
17520	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s DsSvc
17156	Teams.exe	-
11712	Teams.exe	-
11400	Teams.exe	-
10364	Teams.exe	-
14820	Teams.exe	-
8776	Teams.exe	-
17860	Teams.exe	-
9464	Teams.exe	-
10776	Teams.exe	-
1720	Teams.exe	-
19332	Teams.exe	-
1228	Teams.exe	-
5152	Teams.exe	-
16764	Teams.exe	-
6708	Teams.exe	-
5856	Teams.exe	-
12296	Teams.exe	-
10228	Teams.exe	-
11252	Teams.exe	-
6776	Teams.exe	-
6836	Teams.exe	-
8120	Teams.exe	-
6004	Teams.exe	-
10652	Teams.exe	-
13048	Teams.exe	-
2456	HxTsr.exe	-
4588	Teams.exe	-
7784	Teams.exe	-
5712	Teams.exe	-
11628	Teams.exe	-
3532	Teams.exe	-
7640	Teams.exe	-
7152	Teams.exe	-
15368	Teams.exe	-
12612	Teams.exe	-
16352	Teams.exe	-
5020	Teams.exe	-
4660	Teams.exe	-
3900	Teams.exe	-
12248	Teams.exe	-
120	Teams.exe	-
14004	Teams.exe	-
16676	Teams.exe	-
13904	Teams.exe	-
2436	Teams.exe	-
18424	Teams.exe	-
4576	Teams.exe	-
16424	Teams.exe	-
14496	Teams.exe	-
12572	Teams.exe	-
1572	Teams.exe	-
9956	Teams.exe	-
2792	Teams.exe	-
7624	Teams.exe	-
3244	Teams.exe	-
18848	Teams.exe	-
10148	Teams.exe	-
12176	Teams.exe	-
7216	Teams.exe	-
5132	Teams.exe	-
10108	Teams.exe	-
16640	Teams.exe	-
4220	Teams.exe	-
5624	Teams.exe	-
6400	Teams.exe	-
11808	Teams.exe	-
15072	Teams.exe	-
16656	Teams.exe	-
9316	Teams.exe	-
18592	Teams.exe	-
272	Teams.exe	-
2884	HxTsr.exe	-
15652	Teams.exe	-
5864	Teams.exe	-
13320	Teams.exe	-
5696	Teams.exe	-
8512	Teams.exe	-
13020	Teams.exe	-
2068	Teams.exe	-
7876	Teams.exe	-
4680	Teams.exe	-
12700	Teams.exe	-
17864	Teams.exe	-
13052	Teams.exe	-
3808	Teams.exe	-
8016	Teams.exe	-
144	Teams.exe	-
2152	Teams.exe	-
6728	Teams.exe	-
10972	Teams.exe	-
5368	Teams.exe	-
2028	Teams.exe	-
14508	Teams.exe	-
12900	Teams.exe	-
17464	Teams.exe	-
17272	Teams.exe	-
2364	Teams.exe	-
12752	Teams.exe	-
4268	Teams.exe	-
14324	Teams.exe	-
19120	Teams.exe	-
7032	Teams.exe	-
11460	Teams.exe	-
6716	Teams.exe	-
16568	HxTsr.exe	-
19344	Teams.exe	-
13064	Teams.exe	-
6424	Teams.exe	-
7980	Teams.exe	-
16428	Teams.exe	-
4140	Teams.exe	-
18456	Teams.exe	-
11280	Teams.exe	-
9276	Teams.exe	-
6960	Teams.exe	-
260	Teams.exe	-
18748	Teams.exe	-
17200	Teams.exe	-
14892	Teams.exe	-
18452	Teams.exe	-
852	Teams.exe	-
7732	Teams.exe	-
13316	Teams.exe	-
256	Teams.exe	-
268	Teams.exe	-
7616	Teams.exe	-
11092	Teams.exe	-
6948	Teams.exe	-
8092	Teams.exe	-
10064	Teams.exe	-
12516	Teams.exe	-
7296	Teams.exe	-
5264	Teams.exe	-
2648	Teams.exe	-
6620	HxTsr.exe	-
17852	Teams.exe	-
11304	Teams.exe	-
6608	Teams.exe	-
6936	Teams.exe	-
11828	Teams.exe	-
5036	Teams.exe	-
17384	Teams.exe	-
17512	Teams.exe	-
13196	Teams.exe	-
17468	Teams.exe	-
7348	Teams.exe	-
3740	Teams.exe	-
13780	Teams.exe	-
14500	Teams.exe	-
19180	Teams.exe	-
12932	Teams.exe	-
9860	Teams.exe	-
12184	Teams.exe	-
5944	Teams.exe	-
2568	Teams.exe	-
17092	Teams.exe	-
12456	Teams.exe	-
3828	Teams.exe	-
580	Teams.exe	-
18544	Teams.exe	-
8020	Teams.exe	-
6820	Teams.exe	-
19148	Teams.exe	-
17044	Teams.exe	-
11756	Teams.exe	-
7684	Slack.exe	"C:\Program Files\WindowsApps\91750D7E.Slack_4.10.3.0_x64__8she8kybcnzg4\app\Slack.exe" --type=utility --utility-sub-type=audio.mojom.AudioService --field-trial-handle=1800,2595559897263752851,18356817183530779776,131072 --enable-features=WebComponentsV0Enabled --disable-features=CookiesWithoutSameSiteMustBeSecure,HardwareMediaKeyHandling,SameSiteByDefaultCookies,SpareRendererForSitePerProcess,WebRtcHideLocalIpsWithMdns --lang=en-US --service-sandbox-type=audio --standard-schemes=slack-webapp-dev --secure-schemes=slack-webapp-dev --bypasscsp-schemes=slack-webapp-dev --cors-schemes=slack-webapp-dev --fetch-schemes=slack-webapp-dev --service-worker-schemes=slack-webapp-dev --mojo-platform-channel-handle=4588 /prefetch:8
19072	Teams.exe	-
6064	Teams.exe	-
2232	Teams.exe	-
17736	Teams.exe	-
4624	Teams.exe	-
11636	Teams.exe	-
12304	Teams.exe	-
14376	Teams.exe	-
6072	Teams.exe	-
14972	Teams.exe	-
12228	Teams.exe	-
12188	Teams.exe	-
11444	Teams.exe	-
4156	Teams.exe	-
13712	Teams.exe	-
11560	Teams.exe	-
7632	Teams.exe	-
10556	Teams.exe	-
11196	Teams.exe	-
7712	Teams.exe	-
12428	Teams.exe	-
6100	Teams.exe	-
14968	Teams.exe	-
960	Teams.exe	-
5408	Teams.exe	-
4932	Teams.exe	-
13960	Teams.exe	-
7788	HxTsr.exe	-
3916	Teams.exe	-
6988	Teams.exe	-
10948	Teams.exe	-
8440	Teams.exe	-
16256	Teams.exe	-
10196	Teams.exe	-
5444	Teams.exe	-
1240	Teams.exe	-
3676	Teams.exe	-
19044	Teams.exe	-
15216	Teams.exe	-
10644	Teams.exe	-
17536	Teams.exe	-
10616	Teams.exe	-
2244	Teams.exe	-
6264	Teams.exe	-
7004	Teams.exe	-
3604	Teams.exe	-
7756	Teams.exe	-
8424	Teams.exe	-
16940	Teams.exe	-
6040	Teams.exe	-
4620	Teams.exe	-
8612	Teams.exe	-
16356	Teams.exe	-
12244	Teams.exe	-
2120	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalServiceNoNetwork -p -s NcdAutoSetup
19508	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s lmhosts
17124	Teams.exe	-
7544	Teams.exe	-
13140	Teams.exe	-
17284	Teams.exe	-
7364	Teams.exe	-
8280	Teams.exe	-
1940	Teams.exe	-
6428	Teams.exe	-
7288	Teams.exe	-
20208	Teams.exe	-
16944	Teams.exe	-
19908	Teams.exe	-
5440	Teams.exe	-
14512	Teams.exe	-
19608	Teams.exe	-
14292	Teams.exe	-
20448	Teams.exe	-
7160	Teams.exe	-
20060	Teams.exe	-
16184	Teams.exe	-
5012	Teams.exe	-
12300	Teams.exe	-
19696	Teams.exe	-
19488	Teams.exe	-
13608	Teams.exe	-
19108	Teams.exe	-
14808	Teams.exe	-
2520	Teams.exe	-
14484	Teams.exe	-
5048	Teams.exe	-
14456	Teams.exe	-
6452	Teams.exe	-
18180	Teams.exe	-
8128	Teams.exe	-
7316	Teams.exe	-
13804	Teams.exe	-
20268	Teams.exe	-
10488	Teams.exe	-
1668	Teams.exe	-
4088	Teams.exe	-
17436	Teams.exe	-
11564	Teams.exe	-
15492	Teams.exe	-
9284	Teams.exe	-
17224	Teams.exe	-
14444	Teams.exe	-
16396	Teams.exe	-
15332	Teams.exe	-
13032	Teams.exe	-
9352	Teams.exe	-
19012	Teams.exe	-
15720	Teams.exe	-
14348	Teams.exe	-
2016	Teams.exe	-
6828	Teams.exe	-
7896	Teams.exe	-
13096	Teams.exe	-
19896	Teams.exe	-
13372	Teams.exe	-
4312	Teams.exe	-
14768	Teams.exe	-
10812	Teams.exe	-
7384	Teams.exe	-
19712	Teams.exe	-
6276	Teams.exe	-
15456	Teams.exe	-
20048	Teams.exe	-
8676	Teams.exe	-
19652	HxTsr.exe	-
13988	Teams.exe	-
9952	Teams.exe	-
18968	Teams.exe	-
10244	Teams.exe	-
13008	Teams.exe	-
360	Teams.exe	-
11348	Teams.exe	-
6920	Teams.exe	-
18516	Teams.exe	-
16360	Teams.exe	-
19804	Teams.exe	-
7276	Teams.exe	-
12772	Teams.exe	-
6624	Teams.exe	-
20000	Teams.exe	-
16768	Teams.exe	-
5996	Teams.exe	-
6140	Teams.exe	-
9124	Teams.exe	-
6252	Teams.exe	-
19552	Teams.exe	-
13176	Teams.exe	-
19548	Teams.exe	-
14812	Teams.exe	-
14140	Teams.exe	-
5584	Teams.exe	-
552	Teams.exe	-
18580	Teams.exe	-
19200	Teams.exe	-
12792	Teams.exe	-
13792	Teams.exe	-
17064	Teams.exe	-
17416	Teams.exe	-
9972	Teams.exe	-
13520	Teams.exe	-
8376	Teams.exe	-
17896	Teams.exe	-
17844	Teams.exe	-
4948	Teams.exe	-
9632	Teams.exe	-
14776	Teams.exe	-
5652	Teams.exe	-
9356	Teams.exe	-
20344	Teams.exe	-
4452	Teams.exe	-
14120	Teams.exe	-
20248	Teams.exe	-
14356	Teams.exe	-
3020	Teams.exe	-
17500	Teams.exe	-
20452	Teams.exe	-
11764	Teams.exe	-
10724	Teams.exe	-
19580	Teams.exe	-
7728	Teams.exe	-
6780	Teams.exe	-
1216	Teams.exe	-
6732	Teams.exe	-
1476	Teams.exe	-
8188	Teams.exe	-
11284	Teams.exe	-
11440	Teams.exe	-
18428	Teams.exe	-
3712	Teams.exe	-
20072	Teams.exe	-
20148	Teams.exe	-
8292	Teams.exe	-
2484	Teams.exe	-
19020	Teams.exe	-
15832	Teams.exe	-
6848	Teams.exe	-
7304	Teams.exe	-
6524	Teams.exe	-
2036	Teams.exe	-
17592	Teams.exe	-
10192	Teams.exe	-
3424	Teams.exe	-
18584	Teams.exe	-
19956	Teams.exe	-
11768	HxTsr.exe	-
1548	Teams.exe	-
3800	Teams.exe	-
17816	Teams.exe	-
384	Teams.exe	-
19572	Teams.exe	-
19644	Teams.exe	-
4080	Teams.exe	-
9800	Teams.exe	-
15152	Teams.exe	-
12348	Teams.exe	-
14908	Teams.exe	-
14308	Teams.exe	-
19624	Teams.exe	-
13276	Teams.exe	-
11096	Teams.exe	-
6976	Teams.exe	-
5976	Teams.exe	-
14236	Teams.exe	-
8792	Teams.exe	-
1036	Teams.exe	-
20184	Teams.exe	-
19504	Teams.exe	-
14824	Teams.exe	-
6956	Teams.exe	-
20472	Teams.exe	-
18936	Teams.exe	-
1544	Teams.exe	-
18060	Teams.exe	-
13024	Teams.exe	-
16564	Teams.exe	-
4988	Teams.exe	-
13596	Teams.exe	-
3280	Teams.exe	-
20196	Teams.exe	-
404	Teams.exe	-
20420	Teams.exe	-
19844	Teams.exe	-
9264	Teams.exe	-
10988	Teams.exe	-
19304	Teams.exe	-
8604	Teams.exe	-
19636	Teams.exe	-
18796	Teams.exe	-
11136	Teams.exe	-
17936	Teams.exe	-
9652	Teams.exe	-
12252	Teams.exe	-
5592	Teams.exe	-
11944	Teams.exe	-
9212	Teams.exe	-
6172	Teams.exe	-
9596	Teams.exe	-
12160	Teams.exe	-
18512	Teams.exe	-
3384	Teams.exe	-
19848	Teams.exe	-
4684	Teams.exe	-
8216	Teams.exe	-
9620	Teams.exe	-
19856	Teams.exe	-
4992	Teams.exe	-
1580	Teams.exe	-
1444	HxTsr.exe	-
7960	Teams.exe	-
10272	Teams.exe	-
19616	Teams.exe	-
16404	Teams.exe	-
17840	Teams.exe	-
13936	Teams.exe	-
10552	Teams.exe	-
4936	Teams.exe	-
6436	Teams.exe	-
15472	Teams.exe	-
20044	Teams.exe	-
19480	Teams.exe	-
11896	Teams.exe	-
15296	Teams.exe	-
6704	Teams.exe	-
6736	Teams.exe	-
16532	Teams.exe	-
10052	Teams.exe	-
19864	Teams.exe	-
4652	Teams.exe	-
20188	Teams.exe	-
11448	Teams.exe	-
19404	Teams.exe	-
14756	Teams.exe	-
20016	Teams.exe	-
11824	Teams.exe	-
7196	Teams.exe	-
3228	Teams.exe	-
16520	Teams.exe	-
13004	Teams.exe	-
7780	Teams.exe	-
8136	Teams.exe	-
8396	Teams.exe	-
6272	Teams.exe	-
17208	Teams.exe	-
19900	Teams.exe	-
14228	Teams.exe	-
10268	Teams.exe	-
15380	Teams.exe	-
8416	Teams.exe	-
6932	Teams.exe	-
356	Teams.exe	-
19984	Teams.exe	-
20132	Teams.exe	-
4676	Teams.exe	-
1984	Teams.exe	-
6680	Teams.exe	-
9496	Teams.exe	-
8420	Teams.exe	-
12824	Teams.exe	-
4396	Teams.exe	-
3592	Teams.exe	-
18192	Teams.exe	-
9736	Teams.exe	-
16956	Teams.exe	-
7116	Teams.exe	-
15448	Teams.exe	-
6712	Teams.exe	-
13920	Teams.exe	-
1128	HxTsr.exe	-
5332	Teams.exe	-
11008	Teams.exe	-
9176	Teams.exe	-
11496	Teams.exe	-
16476	Teams.exe	-
20464	Teams.exe	-
11368	Teams.exe	-
568	Teams.exe	-
17300	Teams.exe	-
13808	Teams.exe	-
6508	Teams.exe	-
19088	Teams.exe	-
20468	Teams.exe	-
2532	Teams.exe	-
10440	Teams.exe	-
7272	Teams.exe	-
4756	Teams.exe	-
11708	Teams.exe	-
20300	Teams.exe	-
11296	Teams.exe	-
17444	Teams.exe	-
2832	Teams.exe	-
16260	Teams.exe	-
1492	Teams.exe	-
19976	Teams.exe	-
17336	Teams.exe	-
12628	Teams.exe	-
5276	Teams.exe	-
18448	Teams.exe	-
5288	Teams.exe	-
17600	Teams.exe	-
19172	Teams.exe	-
20940	Teams.exe	-
21372	Teams.exe	-
3672	Teams.exe	-
20856	Teams.exe	-
20396	Teams.exe	-
11024	Teams.exe	-
20952	Teams.exe	-
21012	Teams.exe	-
21468	Teams.exe	-
3600	Teams.exe	-
20804	Teams.exe	-
17036	Teams.exe	-
21448	Teams.exe	-
672	Teams.exe	-
19684	Teams.exe	-
20892	Teams.exe	-
20544	Teams.exe	-
19516	Teams.exe	-
20460	Teams.exe	-
9288	Teams.exe	-
19812	HxTsr.exe	-
1832	Teams.exe	-
13720	Teams.exe	-
16556	Teams.exe	-
6968	Teams.exe	-
11320	Teams.exe	-
2996	Teams.exe	-
18048	Teams.exe	-
20284	Teams.exe	-
4104	Teams.exe	-
13560	Teams.exe	-
11760	Teams.exe	-
4996	Teams.exe	-
21232	Teams.exe	-
20612	Teams.exe	-
20040	Teams.exe	-
21236	Teams.exe	-
20140	Teams.exe	-
19932	Teams.exe	-
15548	Teams.exe	-
20536	Teams.exe	-
20588	Teams.exe	-
17000	Teams.exe	-
21060	Teams.exe	-
11176	Teams.exe	-
20600	Teams.exe	-
4116	Teams.exe	-
10836	Teams.exe	-
2644	Teams.exe	-
2688	Teams.exe	-
18812	Teams.exe	-
20880	Teams.exe	-
20848	Teams.exe	-
7336	Teams.exe	-
20564	HxTsr.exe	-
19524	Teams.exe	-
6612	Teams.exe	-
12956	Teams.exe	-
16412	Teams.exe	-
16988	Teams.exe	-
21076	Teams.exe	-
21192	Teams.exe	-
6476	Teams.exe	-
20416	Teams.exe	-
20540	Teams.exe	-
15608	Teams.exe	-
21064	Teams.exe	-
8296	Teams.exe	-
14468	Teams.exe	-
13816	Teams.exe	-
16684	Teams.exe	-
396	Teams.exe	-
20276	Teams.exe	-
5648	Teams.exe	-
6824	Teams.exe	-
15428	Teams.exe	-
17880	Teams.exe	-
5528	Teams.exe	-
11948	Teams.exe	-
21904	Teams.exe	-
12124	Teams.exe	-
21584	Teams.exe	-
12880	Teams.exe	-
10624	Teams.exe	-
20064	Teams.exe	-
4008	Teams.exe	-
32	Teams.exe	-
22248	Teams.exe	-
6520	Teams.exe	-
7520	Teams.exe	-
20052	Teams.exe	-
22288	Teams.exe	-
12936	Teams.exe	-
19604	Teams.exe	-
15836	Teams.exe	-
21968	Teams.exe	-
8268	Teams.exe	-
22000	Teams.exe	-
20616	Teams.exe	-
14412	Teams.exe	-
10044	Teams.exe	-
13532	Teams.exe	-
10588	Teams.exe	-
22180	Teams.exe	-
21484	Teams.exe	-
21908	Teams.exe	-
9612	Teams.exe	-
8368	Teams.exe	-
276	Teams.exe	-
12732	Teams.exe	-
5028	Teams.exe	-
9608	Teams.exe	-
2592	Teams.exe	-
4168	Teams.exe	-
17348	Teams.exe	-
20636	Teams.exe	-
22236	Teams.exe	-
21280	Teams.exe	-
8124	Teams.exe	-
6784	Teams.exe	-
19944	HxTsr.exe	-
22008	Teams.exe	-
2636	Teams.exe	-
19496	Teams.exe	-
20592	Teams.exe	-
21712	Teams.exe	-
12580	Teams.exe	-
16128	Teams.exe	-
11088	Teams.exe	-
22404	Teams.exe	-
4692	Teams.exe	-
20704	Teams.exe	-
12264	Teams.exe	-
22372	Teams.exe	-
10348	Teams.exe	-
3440	Teams.exe	-
6372	Teams.exe	-
6308	Teams.exe	-
22472	Teams.exe	-
21216	Teams.exe	-
13572	Teams.exe	-
8700	Teams.exe	-
19464	Teams.exe	-
3496	Teams.exe	-
2576	Teams.exe	-
10540	Teams.exe	-
6204	Teams.exe	-
6844	Teams.exe	-
22244	Teams.exe	-
15104	Teams.exe	-
17420	Teams.exe	-
10216	Teams.exe	-
6136	Teams.exe	-
11580	Teams.exe	-
19620	Teams.exe	-
556	Teams.exe	-
22512	Teams.exe	-
20320	Teams.exe	-
12820	Teams.exe	-
20872	Teams.exe	-
6668	Teams.exe	-
20812	Teams.exe	-
15388	Teams.exe	-
21264	Teams.exe	-
20920	Teams.exe	-
20632	Teams.exe	-
19968	Teams.exe	-
8908	Teams.exe	-
22016	Teams.exe	-
20992	Teams.exe	-
21352	Teams.exe	-
22184	Teams.exe	-
21872	Teams.exe	-
21920	Teams.exe	-
15552	Teams.exe	-
11892	Teams.exe	-
20924	Teams.exe	-
21728	Teams.exe	-
23232	Teams.exe	-
22556	Teams.exe	-
22728	Teams.exe	-
6928	Teams.exe	-
22816	AdobeARMHelper	-
23176	Teams.exe	-
23332	Teams.exe	-
21744	Teams.exe	-
21868	Teams.exe	-
20768	Teams.exe	-
21648	Teams.exe	-
23404	Teams.exe	-
23144	Teams.exe	-
22808	Teams.exe	-
23388	Teams.exe	-
23392	Teams.exe	-
22948	Teams.exe	-
22568	Teams.exe	-
252	Teams.exe	-
22920	Teams.exe	-
18436	Teams.exe	-
14740	Teams.exe	-
10932	Teams.exe	-
22852	Teams.exe	-
23932	Teams.exe	-
24432	Teams.exe	-
24460	Teams.exe	-
21808	Teams.exe	-
22572	Teams.exe	-
23520	Teams.exe	-
6420	Teams.exe	-
14868	Teams.exe	-
24040	Teams.exe	-
22496	Teams.exe	-
22788	Teams.exe	-
21500	Teams.exe	-
22536	Teams.exe	-
21472	Teams.exe	-
23692	Teams.exe	-
22540	Teams.exe	-
21208	Teams.exe	-
9268	Teams.exe	-
22724	Teams.exe	-
23736	Teams.exe	-
8084	Teams.exe	-
23860	Teams.exe	-
20628	Teams.exe	-
16804	Teams.exe	-
22828	Teams.exe	-
9844	Teams.exe	-
11012	Teams.exe	-
23224	Teams.exe	-
21600	Teams.exe	-
24016	Teams.exe	-
22124	Teams.exe	-
20960	Teams.exe	-
11016	Teams.exe	-
1568	HxTsr.exe	-
12008	Teams.exe	-
24272	Teams.exe	-
24452	Teams.exe	-
22544	Teams.exe	-
14668	Teams.exe	-
19880	Teams.exe	-
22596	Teams.exe	-
23288	Teams.exe	-
23984	Teams.exe	-
23256	Teams.exe	-
18384	Teams.exe	-
22296	Teams.exe	-
23596	Teams.exe	-
12324	Teams.exe	-
23220	Teams.exe	-
23592	Teams.exe	-
22908	Teams.exe	-
23532	Teams.exe	-
5128	Teams.exe	-
22892	Teams.exe	-
23540	Teams.exe	-
22800	Teams.exe	-
7812	Teams.exe	-
1856	Teams.exe	-
11064	Teams.exe	-
19964	Teams.exe	-
22456	Teams.exe	-
8636	Teams.exe	-
21644	Teams.exe	-
21512	Teams.exe	-
20760	Teams.exe	-
22196	Teams.exe	-
20660	Teams.exe	-
24716	Teams.exe	-
25008	Teams.exe	-
1184	Teams.exe	-
15324	Teams.exe	-
18092	Teams.exe	-
22104	Teams.exe	-
7292	Teams.exe	-
25372	Teams.exe	-
24484	Teams.exe	-
21164	Teams.exe	-
21148	Teams.exe	-
19204	Teams.exe	-
22240	Teams.exe	-
25528	Teams.exe	-
1844	Teams.exe	-
23156	Teams.exe	-
25136	Teams.exe	-
23740	Teams.exe	-
22760	Teams.exe	-
21856	Teams.exe	-
24216	Teams.exe	-
21688	Teams.exe	-
23504	Teams.exe	-
25104	Teams.exe	-
23636	Teams.exe	-
10864	Teams.exe	-
20852	Teams.exe	-
24352	HxTsr.exe	-
8764	Teams.exe	-
4036	Teams.exe	-
13676	Teams.exe	-
22996	Teams.exe	-
23816	Teams.exe	-
25424	Teams.exe	-
24792	Teams.exe	-
24960	Teams.exe	-
20828	Teams.exe	-
23148	Teams.exe	-
24496	Teams.exe	-
23152	Teams.exe	-
23544	Teams.exe	-
21096	Teams.exe	-
24072	Teams.exe	-
19376	Teams.exe	-
22140	Teams.exe	-
8408	Teams.exe	-
20172	Teams.exe	-
21852	Teams.exe	-
21732	Teams.exe	-
23324	Teams.exe	-
14732	Teams.exe	-
23120	Teams.exe	-
19872	Teams.exe	-
20908	Teams.exe	-
24480	Teams.exe	-
24340	Teams.exe	-
25204	Teams.exe	-
8232	Teams.exe	-
21276	Teams.exe	-
14492	Teams.exe	-
25520	Teams.exe	-
25124	Teams.exe	-
21992	Teams.exe	-
21308	Teams.exe	-
20120	Teams.exe	-
24516	Teams.exe	-
25052	Teams.exe	-
25448	Teams.exe	-
5676	Teams.exe	-
19396	Teams.exe	-
22864	Teams.exe	-
24036	Teams.exe	-
24964	Teams.exe	-
20820	Teams.exe	-
21612	Teams.exe	-
3144	Teams.exe	-
21552	Teams.exe	-
23764	Teams.exe	-
6672	Teams.exe	-
23912	Teams.exe	-
11156	Teams.exe	-
10676	Teams.exe	-
23640	Teams.exe	-
17892	Teams.exe	-
21520	Teams.exe	-
22384	Teams.exe	-
10596	Teams.exe	-
19648	Teams.exe	-
11640	Teams.exe	-
21080	Teams.exe	-
13796	HxTsr.exe	-
24324	Teams.exe	-
21328	Teams.exe	-
17552	Teams.exe	-
24180	Teams.exe	-
18304	svchost.exe	C:\WINDOWS\system32\svchost.exe -k appmodel -p -s camsvc
9488	ctfmon.exe	"ctfmon.exe"
27232	TabTip.exe	/QuitInfo:00000000000002DC;0000000000000300;  
26988	TextInputHost.	"C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\InputApp\TextInputHost.exe" -ServerName:InputApp.AppX9jnwykgrccxc8by3hsrsh07r423xzvav.mca
27896	Teams.exe	-
25568	Teams.exe	-
7524	Teams.exe	-
4584	Teams.exe	-
9528	Teams.exe	-
24284	Teams.exe	-
21396	Teams.exe	-
12448	msedge.exe	-
26980	msedge.exe	-
25480	Teams.exe	-
24024	msedge.exe	-
27644	msedge.exe	-
4276	Teams.exe	-
19360	RdrCEF.exe	-
11100	Teams.exe	-
3620	Teams.exe	-
3296	RdrCEF.exe	-
16164	chrome.exe	-
19060	chrome.exe	-
27736	chrome.exe	-
1288	chrome.exe	-
2812	chrome.exe	-
10500	chrome.exe	-
28164	chrome.exe	-
14904	chrome.exe	-
24300	msedge.exe	-
584	msedge.exe	-
25988	msedge.exe	-
8172	msedge.exe	-
17244	msedge.exe	-
27764	msedge.exe	-
23996	msedge.exe	-
22756	msedge.exe	-
23688	msedge.exe	-
11200	msedge.exe	-
10808	msedge.exe	-
5380	msedge.exe	-
19428	msedge.exe	-
26920	msedge.exe	-
25240	msedge.exe	-
9136	msedge.exe	-
15952	msedge.exe	-
14532	msedge.exe	-
8244	svchost.exe	C:\WINDOWS\system32\svchost.exe -k DevicesFlow -s DevicesFlowUserSvc
28064	svchost.exe	C:\WINDOWS\system32\svchost.exe -k DevicesFlow -s DevicePickerUserSvc
17644	msedge.exe	-
27000	svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s Netman
25820	Teams.exe	-
24348	pacjsworker.ex	C:\WINDOWS\system32\pacjsworker.exe 697b9330-372f-42f7-b750-5e943efd9517 11b348fb-4af8-4a97-8cf7-f9d1877c82af
27704	pacjsworker.ex	C:\WINDOWS\system32\pacjsworker.exe b536e5b5-df89-4eb6-8fec-97f242609cae 11b348fb-4af8-4a97-8cf7-f9d1877c82af
27916	chrome.exe	-
24604	chrome.exe	-
15180	chrome.exe	-
23492	chrome.exe	-
16248	chrome.exe	-
16792	chrome.exe	-
12984	chrome.exe	-
15268	chrome.exe	-
27220	chrome.exe	-
20156	Teams.exe	-
27888	Teams.exe	-
19248	Teams.exe	-
25332	Teams.exe	-
24568	Teams.exe	-
21400	Teams.exe	-
4432	Teams.exe	-
7820	Teams.exe	-
12728	Teams.exe	-
8	Teams.exe	-
13708	Teams.exe	-
25640	Teams.exe	-
26568	Teams.exe	-
26820	Teams.exe	-
27872	Teams.exe	-
5900	Teams.exe	-
22436	Teams.exe	-
9636	Teams.exe	-
26432	Teams.exe	-
28360	Teams.exe	-
26208	Teams.exe	-
23772	Teams.exe	-
14032	Teams.exe	-
25944	Teams.exe	-
15240	Teams.exe	-
1120	Teams.exe	-
25452	Teams.exe	-
22640	Teams.exe	-
11244	Teams.exe	-
10144	Teams.exe	-
14880	Teams.exe	-
26144	Teams.exe	-
6020	Teams.exe	-
8536	Teams.exe	-
26912	Teams.exe	-
24512	Teams.exe	-
26580	Teams.exe	-
28120	Teams.exe	-
24712	Teams.exe	-
3432	Teams.exe	-
23096	Teams.exe	-
25924	Teams.exe	-
17968	Teams.exe	-
28180	Teams.exe	-
27056	Teams.exe	-
20724	Teams.exe	-
22100	Teams.exe	-
20788	Teams.exe	-
26408	Teams.exe	-
22448	Teams.exe	-
28564	Teams.exe	-
23848	Teams.exe	-
17960	Teams.exe	-
23104	Teams.exe	-
22160	Teams.exe	-
28472	Teams.exe	-
25220	Teams.exe	-
27016	Teams.exe	-
27976	Teams.exe	-
8012	Teams.exe	-
7792	Teams.exe	-
25236	Teams.exe	-
11128	Teams.exe	-
22264	Teams.exe	-
25832	Teams.exe	-
27088	Teams.exe	-
10792	Teams.exe	-
20056	Teams.exe	-
27188	Teams.exe	-
28404	Teams.exe	-
26832	Teams.exe	-
18368	Teams.exe	-
26456	Teams.exe	-
14196	Teams.exe	-
26772	Teams.exe	-
16004	Teams.exe	-
20316	Teams.exe	-
12556	Teams.exe	-
22388	Teams.exe	-
12992	Teams.exe	-
22636	Teams.exe	-
15348	Teams.exe	-
8256	Teams.exe	-
22900	Teams.exe	-
21036	Teams.exe	-
18992	Teams.exe	-
27416	Teams.exe	-
25648	Teams.exe	-
